Allegro Report,,,,,
184-000309RevA.brd,,,,,
Mon Aug 25 10:25:07 2014,,,,,
,,,,,
REFDES,SYM_NAME,SYM_CENTER_X,SYM_CENTER_Y,SYM_ROTATE,SYM_MIRROR
,MTG_266_NPT,470,265,0,TOP
,MTG_266_NPT,3265,265,0,TOP
,MTG_266_NPT,1870,3265,0,TOP
,DATUM_REFERENCE,0,-232.7,0,TOP
,DATUM_REFERENCE,0,-282.7,0,TOP
,DATUM_DIMENSION,2867.5,5551.88,0,TOP
,DATUM_DIMENSION,867.5,5554.38,0,TOP
,DATUM_DIMENSION,796.12,3959.17,0,TOP
,DATUM_DIMENSION,3143,6367.38,0,TOP
,DATUM_DIMENSION,470,-155.2,0,TOP
,DATUM_DIMENSION,3265,-150.2,0,TOP
,DATUM_DIMENSION,1057.38,244.17,0,TOP
,DATUM_DIMENSION,303.62,3244.17,0,TOP
,DATUM_DIMENSION,1870,1462.3,0,TOP
,DATUM_DIMENSION,-94.38,319.17,0,TOP
,DATUM_DIMENSION,-672.88,6269.17,0,TOP
,DATUM_DIMENSION,561.5,6316.88,0,TOP
,DATUM_DIMENSION,917.12,5759.17,0,TOP
,DATUM_DIMENSION,-466.38,-20.83,0,TOP
,DATUM_DIMENSION,3697,-387.7,0,TOP
,DATUM_DIMENSION,2282,-282.7,0,TOP
,DATUM_DIMENSION,1377,-285.2,0,TOP
,FABNOTESROHSNEW,6370.1,2955.57,0,TOP
,MTG_079_NPT,590,5780,0,TOP
,MTG_079_NPT,3140,5780,0,TOP
,MTG_079_NPT,2867.5,3980,0,TOP
,MTG_079_NPT,867.5,3980,0,TOP
,LAYERASSIGNMENT4,2055,6990,0,TOP
,PART_ASSY_198,2426.7,145.6,0,TOP
BT1,PANASONIC_BR2032-1HE,561,4701,0,TOP
BZR1,SOBERTON_WST-1205S,2650,285,180,BOTTOM
C1,0603IPC,1550,3540,180,TOP
C2,0603IPC,1740,3520,180,TOP
C3,KEMET_T491B106K006AT,1905,2825,180,TOP
C4,PANASONIC_B,2435,3873.9,0,TOP
C5,PANASONIC_B,2670,3913.9,90,TOP
C6,PANASONIC_B,1835,4270,180,TOP
C7,0603IPC,3045,3035,180,TOP
C8,0603IPC,2575,5770,270,TOP
C9,NICHICON_UWX0J470MCL1GB,3106.6,2890,0,TOP
C10,0603IPC,2215,5765,270,TOP
C11,PANASONIC_B,1575,4225,180,TOP
C12,1206IPC,1340,4165,180,TOP
C13,1206IPC,1340,4075,180,TOP
C14,1206IPC,1340,3985,180,TOP
C15,1206IPC,1340,3895,180,TOP
C16,1206IPC,1340,3805,180,TOP
C17,0603IPC,2600,2235,90,TOP
C18,NICHICON_UWX0J470MCL1GB,2455,2288.4,270,TOP
C19,0603IPC,2100,2235,90,TOP
C20,NICHICON_UWX0J470MCL1GB,2235,2288.4,270,TOP
C21,0603IPC,2445,3405,90,TOP
C22,NICHICON_UWX0J470MCL1GB,2600,3388.4,270,TOP
C23,0603IPC,1860,5760,270,TOP
C24,0603IPC,1565,5520,180,TOP
C25,0603IPC,1645,5590,0,TOP
C26,0805IPC,1785,5905,90,TOP
C27,0603IPC,1215,5820,0,TOP
C28,0603IPC,1175,5105,0,TOP
C29,KEMET_T491B106K006AT,1905,2705,180,TOP
C30,0603IPC,1485,2670,90,TOP
C31,0603IPC,1585,2150,270,TOP
C32,0603IPC,1530,2460,90,TOP
C33,1206IPC,2060,1865,270,TOP
C34,0603IPC,1560,2305,0,TOP
C35,1206IPC,1365,2115,180,TOP
C36,1206IPC,1060,2500,180,TOP
C37,1206IPC,2515,1665,90,TOP
C38,1206IPC,1940,1425,90,TOP
C39,1206IPC,1060,2225,180,TOP
C40,0603IPC,1405,3130,180,TOP
C41,0603IPC,1305,3095,90,TOP
C42,0603IPC,1135,5620,90,TOP
C43,0603IPC,2810,2050,90,TOP
C44,0603IPC,3265,925,0,TOP
C45,0603IPC,3265,1105,0,TOP
C46,0603IPC,1515,530,90,TOP
C47,NICHICON_UWX1H010MCL1GB,3215,699.15,270,TOP
C48,PANASONIC_EEE-FK0J221P,1413.4,735,0,TOP
C49,1206IPC,580,530,0,TOP
C50,1206IPC,580,620,0,TOP
C51,PANASONIC_D,1855,1821.6,270,TOP
C52,PANASONIC_D,1643.4,1550,0,TOP
C53,PANASONIC_D,1375,1751.6,270,TOP
C54,PANASONIC_D,2245,1966.6,270,TOP
C55,0603IPC,1995,4445,90,TOP
C56,0603IPC,2410,4225,180,TOP
C57,0805IPC,900,2092.5,270,TOP
C58,KEMET_T491A105M016AS,210,3005,180,TOP
C59,PANASONIC_D,256.6,2805,180,TOP
C60,PANASONIC_D,3431.6,2955,180,TOP
C61,0603IPC,2280,4305,270,TOP
C62,0603IPC,3590,4725,0,TOP
C63,0603IPC,3355,4270,270,TOP
C64,0603IPC,3590,4585,0,TOP
C65,0603IPC,3190,5435,90,TOP
C66,0603IPC,2785,4275,270,TOP
C67,0603IPC,3200,4270,270,TOP
C68,0603IPC,3060,4270,270,TOP
C69,0603IPC,2385,4745,180,TOP
C70,0603IPC,3590,4655,0,TOP
C71,0603IPC,3590,4795,0,TOP
C72,0603IPC,3590,5005,0,TOP
C73,0603IPC,3340,5435,90,TOP
C74,0603IPC,3010,5435,90,TOP
C75,0603IPC,2650,5435,90,TOP
C76,0603IPC,2390,5125,180,TOP
C77,0603IPC,3120,5435,90,TOP
C78,0603IPC,2390,4960,180,TOP
C79,0603IPC,2390,5030,180,TOP
C80,0603IPC,3130,4270,270,TOP
C81,0603IPC,3265,4270,270,TOP
C82,0603IPC,935,1860,270,TOP
C83,0603IPC,1050,1895,0,TOP
C84,0603IPC,1125,1825,180,TOP
C85,0603IPC,1205,4020,90,TOP
C86,0603IPC,1880,2235,270,TOP
C87,0603IPC,1220,2675,270,TOP
C88,1206IPC,155,145,0,TOP
C89,0603IPC,2200,5030,180,TOP
C90,0603IPC,2205,4790,0,TOP
C91,0603IPC,3590,4865,0,TOP
C92,0603IPC,2910,5435,90,TOP
C93,0603IPC,2390,5275,180,TOP
C94,0603IPC,2505,5385,270,TOP
C95,0603IPC,2390,4440,180,TOP
C96,0603IPC,2055,4840,270,TOP
C97,0603IPC,1975,5390,0,TOP
C98,0603IPC,1825,4500,270,TOP
C99,0603IPC,1175,5035,180,TOP
C100,0603IPC,1430,5415,90,TOP
C101,0603IPC,1435,4535,180,TOP
C102,0603IPC,1585,5395,180,TOP
C103,0603IPC,1575,4535,180,TOP
C104,0603IPC,2060,4990,90,TOP
C105,0603IPC,1175,4965,180,TOP
C106,1206IPC,1910,4470,270,TOP
C107,1206IPC,1200,4525,270,TOP
C108,0603IPC,1175,4895,0,TOP
C109,1206IPC,295,5250,90,TOP
C110,PANASONIC_D,663.4,5535,0,TOP
C111,0603IPC,175,5415,180,TOP
C112,0805IPC,3230,3587.5,90,TOP
C113,0805IPC,3140,3587.5,90,TOP
C114,0805IPC,3615,3575,270,TOP
C115,0603IPC,3615,4065,270,TOP
C116,0603IPC,3465,3485,0,TOP
C117,0603IPC,3395,3845,270,TOP
D1,FAIRCHILD_BAV99,1949.75,2035,90,TOP
D2,FAIRCHILD_BAV99,1734.75,2285,90,TOP
D3,ROHM_RB520S-40TE61,3590,4515,0,TOP
D4,ROHM_RB520S-40TE61,180,5590,0,TOP
D5,FAIRCHILD_BAV99,1444.75,1960,90,TOP
D6,MICROSEMI_DL4001-DL4007,2620,580,90,TOP
D7,FAIRCHILD_MMBD4148,1345,2960,90,TOP
D8,FAIRCHILD_MMBD4148,2130,1215,90,TOP
D9,FAIRCHILD_MMBD4148,2565,1380,90,TOP
D10,MICROSEMI_DL4001-DL4007,965,125,180,TOP
D11,MICROSEMI_DL4001-DL4007,1235,125,0,TOP
D12,FAIRCHILD_MMBD4148,2755,765,90,TOP
D13,ST_BAR43FILM,155,320.5,270,TOP
D17,FAIRCHILD_MMBD4148,3195,1480,270,TOP
D18,FAIRCHILD_MMBD4148,2555,810,0,TOP
D19,MDI6L,460,1950,180,TOP
D23,DIODES_BAV70-7-F,3243,1325,270,TOP
D24,DIODES_BAV70-7-F,2793,640,270,TOP
D25,DIODES_BAV70-7-F,3300,3165,0,TOP
FID1,FIDUCIAL,590,6035,0,TOP
FID2,FIDUCIAL,3515,6115,0,TOP
FID3,FIDUCIAL,3585,135,0,TOP
FID4,FIDUCIAL,625,150,0,TOP
J1,MOLEX_53398-0271,2590,3683.1,180,TOP
J2,MOLEX_52559-3072,1875,3733.55,0,TOP
J3,TYCO_5555980-1,513,3295,270,TOP
J4,3M_929836-08-06-RK,3380,2335,90,TOP
J5,MOLEX_22-23-2051,1115,3240,90,TOP
J7,MOLEX_39-30-1060,1865,550,0,TOP
J8,MOLEX_22-05-3021,1350,1310,0,BOTTOM
J9,MOLEX_52807-2410,2397.7,6040.95,180,TOP
J10,MOLEX_53047-0910,1216.85,6007.7,180,TOP
J11,MOLEX_54794-0978,641.45,1233.2,90,TOP
L1,PANASONIC_EXC-3BB102H,1839.75,1137,270,TOP
L2,PANASONIC_EXC-3BB102H,1775.25,1138,90,TOP
L3,SUMIDA_CDPH4D19FNP-330MC,204.05,500.7,90,TOP
L4,MURATA_LQH44PN4R7MP0L,3245,3383.82,180,TOP
L5,MURATA_LQH32PN2R2NN0L,3535,3810,0,TOP
LED1,LITE-ON_LTST-C190CKT,3115,2195,0,TOP
LED2,MLT1062,224.5,2360,180,TOP
LED3,MLT1062,3510,6000.5,90,TOP
LED4,LITE-ON_LTST-C190CKT,180,5005,0,TOP
LED5,LITE-ON_LTST-C190CKT,180,5095,0,TOP
Q1,FAIRCHILD_MMBT3904,2789.5,3510,0,TOP
Q2,IR_IRLR024N,3459.5,1882.5,270,TOP
Q3,IR_IRFR9024NPBF,1365,1110,180,TOP
Q4,FAIRCHILD_MMBT3904,1575,1344.5,90,TOP
Q5,FAIRCHILD_MMBT3904,2930,3569.5,90,TOP
Q6,FAIRCHILD_MMBT3904,2735,2304.5,90,TOP
Q7,IR_IRLML6401TR,3577,2779.5,0,TOP
Q8,FAIRCHILD_MMBT3904,3319.5,2720,0,TOP
Q9,FAIRCHILD_MMBT3904,730.5,5950,180,TOP
Q10,ROHM_DTC114EUAT106,335,5570,90,TOP
Q11,IR_IRFR9024NPBF,585,5260,270,TOP
Q12,FAIRCHILD_MMBT3904,235.5,2585,180,TOP
Q13,FAIRCHILD_MMBT3904,3609.5,288,180,TOP
Q15,FAIRCHILD_MMBT3906,3570,3240,270,TOP
R1,0603IPC,1965,1250,270,TOP
R2,0603IPC,1905,1250,270,TOP
R3,0603IPC,2345,3530,0,TOP
R4,0603IPC,2755,3325,270,TOP
R5,0603IPC,1565,4100,0,TOP
R6,0603IPC,1565,4015,0,TOP
R7,0603IPC,1940,2570,0,TOP
R8,0603IPC,1360,2675,270,TOP
R9,0603IPC,1290,2675,270,TOP
R10,0603IPC,2075,2095,270,TOP
R11,0603IPC,1525,2150,270,TOP
R12,0603IPC,1590,2460,90,TOP
R13,0603IPC,2220,1420,180,TOP
R14,0603IPC,1560,2365,180,TOP
R15,0603IPC,1560,2245,180,TOP
R16,0603IPC,1035,2415,0,TOP
R17,0603IPC,1710,2460,90,TOP
R18,0603IPC,1650,2460,90,TOP
R19,0603IPC,1910,1555,180,TOP
R20,0603IPC,1705,2150,270,TOP
R21,0603IPC,1645,2150,270,TOP
R22,0603IPC,1085,2135,0,TOP
R23,0603IPC,1055,2300,180,TOP
R24,0603IPC,2415,1845,90,TOP
R25,0603IPC,3565,2065,0,TOP
R26,0603IPC,3220,2550,270,TOP
R27,0603IPC,3220,2420,90,TOP
R28,0603IPC,3565,2335,0,TOP
R29,0603IPC,1135,5340,90,TOP
R30,0603IPC,2415,1975,270,TOP
R31,0603IPC,1135,5480,90,TOP
R32,0603IPC,2010,4305,270,TOP
R33,0603IPC,2210,4305,270,TOP
R34,0603IPC,2590,1685,90,TOP
R35,YAGEO_SQP500JB,3530,1010,90,TOP
R36,0603IPC,1405,3060,180,TOP
R37,0603IPC,1355,2850,180,TOP
R38,0603IPC,3145,1940,90,TOP
R39,0603IPC,3145,1810,270,TOP
R40,0805IPC,3240,1687.5,270,TOP
R41,0603IPC,3115,1665,180,TOP
R42,0603IPC,2745,1675,180,TOP
R43,0603IPC,3145,2070,270,TOP
R44,0603IPC,1155,2065,180,TOP
R45,0603IPC,2805,3170,270,TOP
R46,0603IPC,2770,2440,0,TOP
R47,0603IPC,2880,2200,270,TOP
R48,0603IPC,2850,1565,0,TOP
R49,0603IPC,2315,1065,270,TOP
R50,0603IPC,2110,1345,180,TOP
R51,0603IPC,2245,1210,90,TOP
R52,0603IPC,2545,1530,0,TOP
R53,0603IPC,2315,1210,90,TOP
R54,0603IPC,2455,1200,270,TOP
R55,0603IPC,1840,1260,270,TOP
R56,0603IPC,1775,1260,90,TOP
R57,0805IPC_SHORTED,1650,1195,90,TOP
R58,0805IPC_SHORTED,1570,1195,90,TOP
R59,0805IPC_SHORTED,2315,405,0,TOP
R60,0603IPC,1295,1375,0,TOP
R61,0603IPC,1590,850,90,TOP
R62,0603IPC,1425,1375,0,TOP
R63,0603IPC,1545,1010,90,TOP
R64,0603IPC,3110,1330,90,TOP
R65,0603IPC,1825,1440,270,TOP
R66,0603IPC,1690,1345,270,TOP
R67,0603IPC,2845,3670,0,TOP
R68,0603IPC,2640,2440,180,TOP
R69,0603IPC,2385,1110,270,TOP
R70,0603IPC,3125,3140,90,TOP
R71,0603IPC,2985,1525,90,TOP
R72,0805IPC,490,2167.5,90,TOP
R73,0805IPC,357.5,2130,180,TOP
R74,0805IPC,3577.5,2670,0,TOP
R75,0805IPC,3430,2727.5,270,TOP
R76,0603IPC,3190,2710,270,TOP
R77,0603IPC,3130,2710,90,TOP
R78,0603IPC,2145,4305,90,TOP
R79,0603IPC,2080,4305,90,TOP
R80,0603IPC,3590,5285,0,TOP
R81,0603IPC,3590,5215,0,TOP
R82,0603IPC,3590,5145,0,TOP
R83,0603IPC,3590,5075,0,TOP
R84,0603IPC,3340,5600,90,TOP
R85,0603IPC,3410,5600,90,TOP
R86,0603IPC,3550,5600,90,TOP
R87,0603IPC,3620,5600,90,TOP
R88,0603IPC,3120,5565,0,TOP
R89,0603IPC,2745,5435,270,TOP
R90,0603IPC,2680,5560,180,TOP
R91,0603IPC,2580,5435,270,TOP
R92,0603IPC,2680,5655,180,TOP
R93,0603IPC,2695,5805,180,TOP
R94,0603IPC,2865,5805,0,TOP
R95,0603IPC,3120,5635,0,TOP
R96,0603IPC,3590,4935,0,TOP
R97,0603IPC,3270,5435,90,TOP
R98,0603IPC,1215,5890,0,TOP
R99,0603IPC,1050,5820,0,TOP
R100,0603IPC,870,5825,180,TOP
R101,1206IPC,1320,5605,0,TOP
R102,1206IPC,1320,5705,0,TOP
R104,0603IPC,135,5280,90,TOP
R105,0603IPC,175,5515,180,TOP
R106,0603IPC,205,5280,90,TOP
R107,0603IPC,330,5460,0,TOP
R108,0603IPC,1505,5590,0,TOP
R109,0603IPC,870,5895,180,TOP
R110,0603IPC,230,3705,90,TOP
R111,0603IPC,755,3890,270,TOP
R112,0603IPC,755,3750,90,TOP
R113,0603IPC,1190,1895,0,TOP
R114,0603IPC,1105,3975,270,TOP
R115,0603IPC,865,1860,270,TOP
R116,0603IPC,2020,2235,270,TOP
R117,0603IPC,1960,2235,270,TOP
R118,0603IPC,1770,2430,270,TOP
R119,0603IPC,205,2195,180,TOP
R120,0603IPC,365,2595,90,TOP
R121,0603IPC,3615,400,0,TOP
R122,0603IPC,2455,1065,270,TOP
R123,0603IPC,1115,2915,270,TOP
R124,0603IPC,3510,5750,270,TOP
R125,0603IPC,100,2140,90,TOP
R126,0603IPC,3185,3140,90,TOP
R127,0603IPC,3565,2125,0,TOP
R128,0603IPC,3565,2185,180,TOP
R129,0603IPC,1050,5890,180,TOP
R130,0603IPC,3065,1545,270,TOP
R131,0603IPC,2350,4845,270,TOP
R132,0603IPC,2205,5120,180,TOP
R133,0603IPC,2460,4845,270,TOP
R134,0603IPC,2390,5195,180,TOP
R135,0603IPC,2380,4325,270,TOP
R136,0603IPC,2205,5205,0,TOP
R137,0603IPC,1685,4500,270,TOP
R138,0603IPC,1755,4500,270,TOP
R139,0603IPC,1175,4755,180,TOP
R140,0603IPC,1175,4825,180,TOP
R141,0603IPC,1175,4685,0,TOP
R142,0603IPC,2190,4640,0,TOP
R143,0603IPC,2190,4710,0,TOP
R144,0603IPC,2190,4545,0,TOP
R145,0603IPC,875,5150,90,TOP
R146,0603IPC,870,5655,90,TOP
R147,0603IPC,3570,3135,180,TOP
R148,0603IPC,3580,3345,180,TOP
R149,0603IPC,3420,4170,180,TOP
R150,0603IPC,3580,4170,180,TOP
R151,0603IPC,2875,3775,90,TOP
R152,0603IPC,3280,4170,0,TOP
R153,0603IPC,3425,3165,90,TOP
R154,0603IPC,3330,3845,270,TOP
R155,0603IPC,3265,3845,90,TOP
R156,0603IPC,3430,3315,270,TOP
R157,0603IPC,3465,3420,0,TOP
RN1,ROHM_MNR15ERRPJ223,3480,5405,0,TOP
RN2,ROHM_MNR15ERRPJ223,2860,5685,0,TOP
RN3,ROHM_MNR15ERRPJ223,2910,4230,0,TOP
RN4,ROHM_MNR15ERRPJ223,2650,4225,0,TOP
RN5,ROHM_MNR15ERRPJ223,2375,4580,90,TOP
RP1,PANASONIC_EXB-38V,3555,4325,90,TOP
RP2,PANASONIC_EXB-38V,1635,5980,270,TOP
RP3,PANASONIC_EXB-38V,1275,5425,90,TOP
SW1,PANASONIC_EVQ-PAG04M,2970,3265,0,TOP
SW2,PANASONIC_EVQ-PAG04M,2970,2615,0,TOP
SW3,PANASONIC_EVQ-PAG04M,2970,1965,0,TOP
SW4,PANASONIC_EVQ-PAG04M,2970,1315,0,TOP
SW5,PANASONIC_EVQ-PAG04M,2970,665,0,TOP
TP1,MS1252_1,2520,4245,90,TOP
TP2,MS1252_1,2475,4345,90,TOP
TP3,MS1252_1,2580,4365,90,TOP
TP4,MS1252_1,2695,4075,90,TOP
TP5,MS1252_1,2775,4105,90,TOP
TP6,MS1252_1,2610,4065,90,TOP
TP7,MS1252_1,2210,4420,90,TOP
TP8,MS1252_1,965,4890,90,TOP
TP9,MS1252_1,1060,4880,90,TOP
TP10,MS1252_1,995,4810,90,TOP
TP11,MS1252_1,1315,4515,90,TOP
TP12,MS1252_1,1725,2590,90,TOP
TP13,MS1252_1,2720,1750,90,TOP
TP14,MS1252_1,2315,2140,90,TOP
TP15,MS1252_1,2710,2190,90,TOP
TP16,MS1252_1,2390,2105,90,TOP
TP17,MS1252_1,3225,1895,90,TOP
TP18,MS1252_1,1155,1995,90,TOP
TP19,MS1252_1,235,4200,90,TOP
TP20,MS1252_1,315,4120,90,TOP
TP21,MS1252_1,1035,3690,90,TOP
TP22,MS1252_1,1065,4655,0,TOP
TP23,MS1252_1,760,1830,0,TOP
TP24,MS1252_1,180,5170,0,TOP
TP25,MS1252_1,200,5950,270,TOP
TP26,MS1252_1,875,6075,0,TOP
TP27,MS1252_1,2965,3805,180,TOP
TP28,MS1252_1,3610,3695,180,TOP
TP29,MS1252_1,2120,4420,0,TOP
TVS1,ST_P6KE47CARL,2220,725,270,TOP
TVS2,ST_P6KE47CARL,2375,725,270,TOP
U1,TOSHIBA_TC74VHCT244AFT-EL,2395,5690,90,TOP
U2,TOSHIBA_TC74VHCT244AFT-EL,2035,5690,90,TOP
U3,TI_TLV2374ID,1312,2345,90,TOP
U4,NJR_NJM2903L,1000,5335,0,TOP
U5,TI_TLV2374ID,2612,1965,90,TOP
U6,MICROCHIP_PIC18F87J10-I_PT,2425,2855,270,TOP
U7,LINEAR_LTC6910-2CTS8,1580,2655,0,TOP
U8,BB_INA143U,2330,1612,180,TOP
U9,NATIONAL_LM4040DIM3,1015.5,2015,180,TOP
U10,TI_UA78M05CDCYR,3020,1015,90,TOP
U11,LITE-ON_4N25S,2655,1102.85,0,TOP
U12,NATIONAL_LMC7660IM,1615,1838,0,TOP
U13,DIODES_PAM2306AYPKB,3365,3615.04,270,TOP
U14,EON_SILICON_SOLUTION_EN25Q64-104HIP,3110,3960,270,TOP
U15,NJR_NJM2904L,2165,4095,90,TOP
U16,RENESAS_R5S726B0D216FP,3010,4841.97,270,TOP
U17,ALTERA_5M570ZT100I5N,1640,4955,0,TOP
U18,TOSHIBA_TC78H600FTG,1615,5750,90,TOP
U19,ROHM_BD46282G-TR,2355,5385,0,TOP
U20,ST_M41T94MQ6E,1030,4242.5,180,TOP
U21,ST_M25P16-VMF6P,490,3826,0,TOP
U22,MICROCHIP_25AA320-I_SN,1972.5,2405,90,TOP
U23,AD_AD628ARZ,2085,1617,180,TOP
U24,MICROCHIP_MCP121-300E_TO,1069.95,2685,270,TOP
U25,ROHM_BU18TD3WG-TR,1055,4525,0,TOP
U26,MICROCHIP_PIC12F508-I_SN,3400,4025,270,TOP
VR1,NATIONAL_LM2940S,944.25,453.75,90,TOP
VR2,TI_LP2981-33DBVR,419,580.5,0,TOP
VR3,NATIONAL_LM317T,705,2570,0,TOP
Y1,MURATA_CSTCE8M00G55-R0,2835,2852,90,TOP
Y2,ABRACON_ABM8,2200,4900,180,TOP
Y3,EPSON_C-001R_32_768K-A,1482.25,4385,270,TOP
